simulation_id,tick,total_interactions,ingroup_interactions,outgroup_interactions,ingroup_ratio,avg_interactions_per_event,interactions_per_disinformer,interaction_efficiency
experiment_001,0,35315,26610,8705,0.7535041766954552,2354.3333333333335,9.728650137741047,0.0
experiment_001,1,36100,27282,8818,0.7557340720221607,2406.6666666666665,9.944903581267218,0.0
experiment_001,2,36135,27309,8826,0.7557492735574928,2409.0,9.954545454545455,0.0
experiment_001,3,35449,26739,8710,0.7542949025360377,2363.266666666667,9.765564738292012,0.0
experiment_001,4,35832,27042,8790,0.7546885465505693,2388.8,9.87107438016529,0.0
experiment_001,5,36144,27329,8815,0.7561144311642319,2409.6,9.95702479338843,0.00013833554670208056
experiment_001,6,35818,27038,8780,0.7548718521413814,2387.866666666667,9.867217630853995,0.00016751354067787147
experiment_001,7,35796,27031,8765,0.755140239132864,2386.4,9.861157024793389,0.00036316906916973964
experiment_001,8,35883,27117,8766,0.7557060446450966,2392.2,9.88512396694215,0.0009475238971100521
experiment_001,9,35350,26655,8695,0.754031117397454,2356.6666666666665,9.738292011019285,0.001386138613861386
experiment_001,10,35823,27040,8783,0.7548223208553164,2388.2,9.83337908317321,0.0024565223459788402
experiment_001,11,42729,32242,10487,0.7545694961267523,2848.6,9.682528891910264,0.004984904865547988
experiment_001,12,119024,90014,29010,0.7562676435004705,7934.933333333333,10.097904471027404,0.010712125285656675
experiment_001,13,657507,496458,161049,0.7550611628469355,43833.8,9.891785768015646,0.012278196277758259
